Item,Intended Word,Condition,Intended Completion,Total Completions
3,alteration,Sem,16,34
3,alteration,SemCrit,34,37
3,alteration,Synt,38,38
4,altercation,Sem,2,37
4,altercation,SemCrit,37,37
4,altercation,Synt,34,37
5,anecdote,Sem,8,37
5,anecdote,SemCrit,27,38
5,anecdote,Synt,33,36
6,antidote,Sem,21,36
6,antidote,SemCrit,32,36
6,antidote,Synt,37,37
7,anenomes,Sem,6,35
7,anenomes,SemCrit,25,38
7,anenomes,Synt,20,37
8,amenities,Sem,12,37
8,amenities,SemCrit,30,37
8,amenities,Synt,36,36
9,sediment,Sem,4,34
9,sediment,SemCrit,36,37
9,sediment,Synt,36,38
10,sentiment,Sem,6,35
10,sentiment,SemCrit,31,37
10,sentiment,Synt,33,37
11,cardinal,Sem,19,38
11,cardinal,SemCrit,26,38
11,cardinal,Synt,36,37
12,carnival,Sem,12,37
12,carnival,SemCrit,38,38
12,carnival,Synt,33,37
13,catalyst,Sem,12,35
13,catalyst,SemCrit,21,37
13,catalyst,Synt,38,38
14,callus,Sem,18,38
14,callus,SemCrit,35,38
14,callus,Synt,35,36
15,cavalry,Sem,8,36
15,cavalry,SemCrit,27,38
15,cavalry,Synt,30,36
16,cavity,Sem,36,37
16,cavity,SemCrit,37,37
16,cavity,Synt,36,36
17,medication,Sem,15,38
17,medication,SemCrit,37,37
17,medication,Synt,33,36
18,meditation,Sem,8,36
18,meditation,SemCrit,37,38
18,meditation,Synt,37,37
19,collection,Sem,30,38
19,collection,SemCrit,37,37
19,collection,Synt,37,37
20,correction,Sem,30,37
20,correction,SemCrit,37,37
20,correction,Synt,37,38
21,migraine,Sem,31,36
21,migraine,SemCrit,36,36
21,migraine,Synt,38,38
22,migrant,Sem,4,34
22,migrant,SemCrit,25,39
22,migrant,Synt,30,37
25,coroner,Sem,11,36
25,coroner,SemCrit,34,38
25,coroner,Synt,35,35
26,corridor,Sem,5,37
26,corridor,SemCrit,16,37
26,corridor,Synt,32,37
27,correlation,Sem,8,33
27,correlation,SemCrit,20,36
27,correlation,Synt,36,38
28,coronation,Sem,4,35
28,coronation,SemCrit,29,36
28,coronation,Synt,35,37
29,pheromone,Sem,21,37
29,pheromone,SemCrit,35,38
29,pheromone,Synt,33,38
30,pharaoh,Sem,17,36
30,pharaoh,SemCrit,33,39
30,pharaoh,Synt,37,37
31,physician,Sem,4,36
31,physician,SemCrit,30,37
31,physician,Synt,33,37
32,physicist,Sem,3,33
32,physicist,SemCrit,28,36
32,physicist,Synt,37,38
33,dilation,Sem,20,37
33,dilation,SemCrit,33,36
33,dilation,Synt,35,36
34,dilution,Sem,17,37
34,dilution,SemCrit,37,37
34,dilution,Synt,33,37
35,distraction,Sem,0,34
35,distraction,SemCrit,18,37
35,distraction,Synt,37,37
36,destruction,Sem,14,37
36,destruction,SemCrit,28,37
36,destruction,Synt,37,38
37,shudder,Sem,2,37
37,shudder,SemCrit,30,38
37,shudder,Synt,34,37
38,shutter,Sem,9,37
38,shutter,SemCrit,34,37
38,shutter,Synt,38,38
39,empire,Sem,11,36
39,empire,SemCrit,37,37
39,empire,Synt,37,37
40,umpire,Sem,19,36
40,umpire,SemCrit,35,36
40,umpire,Synt,37,37
41,excursion,Sem,6,36
41,excursion,SemCrit,22,38
41,excursion,Synt,30,36
42,exertion,Sem,5,36
42,exertion,SemCrit,20,37
42,exertion,Synt,28,37
45,hearse,Sem,24,36
45,hearse,SemCrit,36,36
45,hearse,Synt,32,37
46,hearth,Sem,0,36
46,hearth,SemCrit,24,36
46,hearth,Synt,32,37
47,humidity,Sem,32,36
47,humidity,SemCrit,35,37
47,humidity,Synt,34,36
48,humility,Sem,21,36
48,humility,SemCrit,34,38
48,humility,Synt,31,37
49,hypothesis,Sem,6,34
49,hypothesis,SemCrit,31,35
49,hypothesis,Synt,36,38
50,hypotenuse,Sem,19,36
50,hypotenuse,SemCrit,28,37
50,hypotenuse,Synt,30,38
51,immorality,Sem,0,37
51,immorality,SemCrit,27,36
51,immorality,Synt,32,38
52,immortality,Sem,0,35
52,immortality,SemCrit,26,37
52,immortality,Synt,31,36
53,infamy,Sem,1,38
53,infamy,SemCrit,28,37
53,infamy,Synt,26,37
54,infantry,Sem,2,36
54,infantry,SemCrit,30,36
54,infantry,Synt,35,37
55,inflection,Sem,0,37
55,inflection,SemCrit,20,37
55,inflection,Synt,34,37
56,infection,Sem,23,37
56,infection,SemCrit,37,37
56,infection,Synt,36,37
57,frankincense,Sem,23,37
57,frankincense,SemCrit,33,37
57,frankincense,Synt,35,38
58,Frankenstein,Sem,1,35
58,Frankenstein,SemCrit,38,38
58,Frankenstein,Synt,37,37
59,manatee,Sem,10,37
59,manatee,SemCrit,37,37
59,manatee,Synt,35,38
60,matinee,Sem,24,35
60,matinee,SemCrit,33,39
60,matinee,Synt,34,36
61,mascara,Sem,8,37
61,mascara,SemCrit,36,37
61,mascara,Synt,34,37
62,masquerade,Sem,10,34
62,masquerade,SemCrit,28,36
62,masquerade,Synt,38,38
63,peasantry,Sem,8,36
63,peasantry,SemCrit,22,36
63,peasantry,Synt,18,35
64,pleasantry,Sem,1,37
64,pleasantry,SemCrit,36,39
64,pleasantry,Synt,29,37
65,sympathizer,Sem,6,36
65,sympathizer,SemCrit,34,37
65,sympathizer,Synt,37,37
66,synthesizer,Sem,5,33
66,synthesizer,SemCrit,32,37
66,synthesizer,Synt,33,37
67,tapestry,Sem,17,36
67,tapestry,SemCrit,34,38
67,tapestry,Synt,34,37
68,travesty,Sem,0,36
68,travesty,SemCrit,24,36
68,travesty,Synt,37,39
69,sapphire,Sem,15,38
69,sapphire,SemCrit,35,38
69,sapphire,Synt,36,36
70,saffron,Sem,0,35
70,saffron,SemCrit,27,37
70,saffron,Synt,36,37
73,gazette,Sem,1,35
73,gazette,SemCrit,33,36
73,gazette,Synt,34,38
74,gazelle,Sem,15,37
74,gazelle,SemCrit,35,37
74,gazelle,Synt,34,36
75,embargo,Sem,15,37
75,embargo,SemCrit,34,36
75,embargo,Synt,35,38
76,embryo,Sem,22,37
76,embryo,SemCrit,36,36
76,embryo,Synt,37,37
77,irritation,Sem,4,37
77,irritation,SemCrit,36,38
77,irritation,Synt,33,36
78,irrigation,Sem,16,36
78,irrigation,SemCrit,38,38
78,irrigation,Synt,36,37
79,mobility,Sem,9,36
79,mobility,SemCrit,33,36
79,mobility,Synt,33,38
80,nobility,Sem,9,37
80,nobility,SemCrit,28,36
80,nobility,Synt,19,37
81,nymph,Sem,17,37
81,nymph,SemCrit,34,37
81,nymph,Synt,37,38
82,lymph,Sem,5,36
82,lymph,SemCrit,17,37
82,lymph,Synt,19,36
83,juggler,Sem,8,37
83,juggler,SemCrit,38,39
83,juggler,Synt,37,38
84,jugular,Sem,16,37
84,jugular,SemCrit,36,36
84,jugular,Synt,37,37
87,splinter,Sem,16,36
