Word,Class,MeanFamiliarity
horse,animal,3.3322045
gherkin,plant,0
hedgehog,animal,0
bee,animal,1.7917595
peanut,plant,0.6931472
pear,plant,0
pineapple,plant,0
frog,animal,2.0794415
blackberry,plant,0.6931472
pigeon,animal,1.0986123
tortoise,animal,0
tomato,plant,0
pig,animal,2.7725887
donkey,animal,0
magpie,animal,0
melon,plant,1.0986123
paprika,plant,0
squirrel,animal,0
beetroot,plant,0
snake,animal,1.6094379
goat,animal,1.9459101
cucumber,plant,0
strawberry,plant,0
fox,animal,1.7917595
walnut,plant,0
broccoli,plant,0
bat,animal,2.1972246
dog,animal,3.1354942
butterfly,animal,0
spider,animal,0.6931472
apricot,plant,0
owl,animal,1.3862944
mushroom,plant,0.6931472
gull,animal,1.6094379
dolphin,animal,0
clove,plant,0
reindeer,animal,0
shark,animal,0.6931472
olive,plant,1.0986123
almond,plant,0
whale,animal,1.0986123
moose,animal,0
camel,animal,0.6931472
wasp,animal,1.3862944
lettuce,plant,0
potato,plant,0
sheep,animal,2.3025851
cat,animal,2.7725887
cherry,plant,0.6931472
eggplant,plant,0
asparagus,plant,0
vulture,animal,0
bunny,animal,0
mouse,animal,1.9459101
leek,plant,0
badger,animal,0.6931472
ant,animal,1.3862944
grape,plant,1.0986123
eagle,animal,1.0986123
lion,animal,1.0986123
mustard,plant,0
woodpecker,animal,0
kiwi,plant,0
carrot,plant,0.6931472
radish,plant,0.6931472
beaver,animal,0
lemon,plant,0.6931472
squid,animal,0
mole,animal,1.0986123
blueberry,plant,0
chicken,animal,1.0986123
elephant,animal,0.6931472
banana,plant,0
stork,animal,0
orange,plant,1.3862944
crocodile,animal,0
swan,animal,1.3862944
monkey,animal,0
avocado,plant,0
goose,animal,1.7917595
apple,plant,1.0986123
