Rating,Subject,Word,Naive,Language,word_length,Class,MeanFamiliarity
5,Jer,horse,naive,English,long,animal,3.3322045
2,Jer,gherkin,naive,English,long,plant,0
2,Jer,hedgehog,naive,English,long,animal,0
2,Jer,bee,naive,English,short,animal,1.7917595
1,Jer,peanut,naive,English,long,plant,0.6931472
1,Jer,pear,naive,English,short,plant,0
3,Jer,pineapple,naive,English,long,plant,0
2,Jer,frog,naive,English,short,animal,2.0794415
1,Jer,blackberry,naive,English,long,plant,0.6931472
3,Jer,pigeon,naive,English,long,animal,1.0986123
2,Jer,tortoise,naive,English,long,animal,0
2,Jer,tomato,naive,English,long,plant,0
4,Jer,pig,naive,English,short,animal,2.7725887
6,Jer,donkey,naive,English,long,animal,0
4,Jer,magpie,naive,English,long,animal,0
3,Jer,melon,naive,English,long,plant,1.0986123
2,Jer,paprika,naive,English,long,plant,0
3,Jer,squirrel,naive,English,long,animal,0
1,Jer,beetroot,naive,English,long,plant,0
2,Jer,snake,naive,English,long,animal,1.6094379
3,Jer,goat,naive,English,short,animal,1.9459101
2,Jer,cucumber,naive,English,long,plant,0
0,Jer,strawberry,naive,English,long,plant,0
4,Jer,fox,naive,English,short,animal,1.7917595
0,Jer,walnut,naive,English,long,plant,0
3,Jer,broccoli,naive,English,long,plant,0
2,Jer,bat,naive,English,short,animal,2.1972246
3,Jer,dog,naive,English,short,animal,3.1354942
3,Jer,butterfly,naive,English,long,animal,0
1,Jer,spider,naive,English,long,animal,0.6931472
4,Jer,apricot,naive,English,long,plant,0
3,Jer,owl,naive,English,short,animal,1.3862944
1,Jer,mushroom,naive,English,long,plant,0.6931472
3,Jer,gull,naive,English,short,animal,1.6094379
5,Jer,dolphin,naive,English,long,animal,0
3,Jer,clove,naive,English,long,plant,0
7,Jer,reindeer,naive,English,long,animal,0
5,Jer,shark,naive,English,long,animal,0.6931472
1,Jer,olive,naive,English,long,plant,1.0986123
1,Jer,almond,naive,English,long,plant,0
8,Jer,whale,naive,English,long,animal,1.0986123
7,Jer,moose,naive,English,long,animal,0
7,Jer,camel,naive,English,long,animal,0.6931472
2,Jer,wasp,naive,English,short,animal,1.3862944
3,Jer,lettuce,naive,English,long,plant,0
4,Jer,potato,naive,English,long,plant,0
5,Jer,sheep,naive,English,long,animal,2.3025851
2,Jer,cat,naive,English,short,animal,2.7725887
0,Jer,cherry,naive,English,long,plant,0.6931472
2,Jer,eggplant,naive,English,long,plant,0
1,Jer,asparagus,naive,English,long,plant,0
2,Jer,vulture,naive,English,long,animal,0
4,Jer,bunny,naive,English,long,animal,0
2,Jer,mouse,naive,English,long,animal,1.9459101
3,Jer,leek,naive,English,short,plant,0
4,Jer,badger,naive,English,long,animal,0.6931472
2,Jer,ant,naive,English,short,animal,1.3862944
2,Jer,grape,naive,English,long,plant,1.0986123
4,Jer,eagle,naive,English,long,animal,1.0986123
7,Jer,lion,naive,English,short,animal,1.0986123
2,Jer,mustard,naive,English,long,plant,0
2,Jer,woodpecker,naive,English,long,animal,0
2,Jer,kiwi,naive,English,short,plant,0
2,Jer,carrot,naive,English,long,plant,0.6931472
2,Jer,radish,naive,English,long,plant,0.6931472
5,Jer,beaver,naive,English,long,animal,0
1,Jer,lemon,naive,English,long,plant,0.6931472
4,Jer,squid,naive,English,long,animal,0
4,Jer,mole,naive,English,short,animal,1.0986123
0,Jer,blueberry,naive,English,long,plant,0
2,Jer,chicken,naive,English,long,animal,1.0986123
8,Jer,elephant,naive,English,long,animal,0.6931472
1,Jer,banana,naive,English,long,plant,0
3,Jer,stork,naive,English,long,animal,0
4,Jer,orange,naive,English,long,plant,1.3862944
7,Jer,crocodile,naive,English,long,animal,0
3,Jer,swan,naive,English,short,animal,1.3862944
4,Jer,monkey,naive,English,long,animal,0
1,Jer,avocado,naive,English,long,plant,0
3,Jer,goose,naive,English,long,animal,1.7917595
1,Jer,apple,naive,English,long,plant,1.0986123
2,YH,spider,naive,notEnglish,long,animal,0.6931472
4,YH,melon,naive,notEnglish,long,plant,1.0986123
5,YH,banana,naive,notEnglish,long,plant,0
2,YH,badger,naive,notEnglish,long,animal,0.6931472
3,YH,butterfly,naive,notEnglish,long,animal,0
3,YH,pigeon,naive,notEnglish,long,animal,1.0986123
1,YH,grape,naive,notEnglish,long,plant,1.0986123
4,YH,broccoli,naive,notEnglish,long,plant,0
4,YH,woodpecker,naive,notEnglish,long,animal,0
2,YH,squid,naive,notEnglish,long,animal,0
4,YH,swan,naive,notEnglish,short,animal,1.3862944
2,YH,mushroom,naive,notEnglish,long,plant,0.6931472
2,YH,asparagus,naive,notEnglish,long,plant,0
4,YH,goose,naive,notEnglish,long,animal,1.7917595
5,YH,vulture,naive,notEnglish,long,animal,0
4,YH,bunny,naive,notEnglish,long,animal,0
8,YH,lion,naive,notEnglish,short,animal,1.0986123
3,YH,leek,naive,notEnglish,short,plant,0
5,YH,mole,naive,notEnglish,short,animal,1.0986123
1,YH,beetroot,naive,notEnglish,long,plant,0
1,YH,frog,naive,notEnglish,short,animal,2.0794415
1,YH,moose,naive,notEnglish,long,animal,0
4,YH,stork,naive,notEnglish,long,animal,0
1,YH,hedgehog,naive,notEnglish,long,animal,0
7,YH,shark,naive,notEnglish,long,animal,0.6931472
1,YH,pear,naive,notEnglish,short,plant,0
3,YH,radish,naive,notEnglish,long,plant,0.6931472
6,YH,horse,naive,notEnglish,long,animal,3.3322045
3,YH,owl,naive,notEnglish,short,animal,1.3862944
2,YH,apricot,naive,notEnglish,long,plant,0
4,YH,snake,naive,notEnglish,long,animal,1.6094379
3,YH,bee,naive,notEnglish,short,animal,1.7917595
1,YH,blueberry,naive,notEnglish,long,plant,0
8,YH,camel,naive,notEnglish,long,animal,0.6931472
3,YH,cucumber,naive,notEnglish,long,plant,0
3,YH,chicken,naive,notEnglish,long,animal,1.0986123
7,YH,crocodile,naive,notEnglish,long,animal,0
2,YH,potato,naive,notEnglish,long,plant,0
2,YH,peanut,naive,notEnglish,long,plant,0.6931472
8,YH,whale,naive,notEnglish,long,animal,1.0986123
5,YH,monkey,naive,notEnglish,long,animal,0
4,YH,beaver,naive,notEnglish,long,animal,0
3,YH,orange,naive,notEnglish,long,plant,1.3862944
1,YH,bat,naive,notEnglish,short,animal,2.1972246
0,YH,ant,naive,notEnglish,short,animal,1.3862944
7,YH,dolphin,naive,notEnglish,long,animal,0
8,YH,elephant,naive,notEnglish,long,animal,0.6931472
6,YH,pig,naive,notEnglish,short,animal,2.7725887
4,YH,magpie,naive,notEnglish,long,animal,0
3,YH,mustard,naive,notEnglish,long,plant,0
7,YH,reindeer,naive,notEnglish,long,animal,0
2,YH,wasp,naive,notEnglish,short,animal,1.3862944
3,YH,mouse,naive,notEnglish,long,animal,1.9459101
1,YH,olive,naive,notEnglish,long,plant,1.0986123
5,YH,sheep,naive,notEnglish,long,animal,2.3025851
3,YH,paprika,naive,notEnglish,long,plant,0
2,YH,avocado,naive,notEnglish,long,plant,0
6,YH,donkey,naive,notEnglish,long,animal,0
2,YH,eggplant,naive,notEnglish,long,plant,0
2,YH,carrot,naive,notEnglish,long,plant,0.6931472
2,YH,cat,naive,notEnglish,short,animal,2.7725887
4,YH,dog,naive,notEnglish,short,animal,3.1354942
3,YH,almond,naive,notEnglish,long,plant,0
3,YH,apple,naive,notEnglish,long,plant,1.0986123
3,YH,lettuce,naive,notEnglish,long,plant,0
1,YH,strawberry,naive,notEnglish,long,plant,0
1,YH,lemon,naive,notEnglish,long,plant,0.6931472
1,YH,walnut,naive,notEnglish,long,plant,0
2,YH,blackberry,naive,notEnglish,long,plant,0.6931472
4,YH,gull,naive,notEnglish,short,animal,1.6094379
2,YH,clove,naive,notEnglish,long,plant,0
3,YH,gherkin,naive,notEnglish,long,plant,0
5,YH,fox,naive,notEnglish,short,animal,1.7917595
4,YH,pineapple,naive,notEnglish,long,plant,0
1,YH,cherry,naive,notEnglish,long,plant,0.6931472
2,YH,tomato,naive,notEnglish,long,plant,0
7,YH,goat,naive,notEnglish,short,animal,1.9459101
5,YH,eagle,naive,notEnglish,long,animal,1.0986123
3,YH,tortoise,naive,notEnglish,long,animal,0
4,YH,kiwi,naive,notEnglish,short,plant,0
4,YH,squirrel,naive,notEnglish,long,animal,0
3,MtG,squid,naive,English,long,animal,0
4,MtG,pear,naive,English,short,plant,0
3,MtG,asparagus,naive,English,long,plant,0
1,MtG,leek,naive,English,short,plant,0
6,MtG,donkey,naive,English,long,animal,0
4,MtG,pigeon,naive,English,long,animal,1.0986123
2,MtG,eagle,naive,English,long,animal,1.0986123
3,MtG,squirrel,naive,English,long,animal,0
2,MtG,woodpecker,naive,English,long,animal,0
1,MtG,bunny,naive,English,long,animal,0
5,MtG,fox,naive,English,short,animal,1.7917595
5,MtG,sheep,naive,English,long,animal,2.3025851
8,MtG,shark,naive,English,long,animal,0.6931472
2,MtG,badger,naive,English,long,animal,0.6931472
8,MtG,moose,naive,English,long,animal,0
1,MtG,radish,naive,English,long,plant,0.6931472
1,MtG,cherry,naive,English,long,plant,0.6931472
4,MtG,tortoise,naive,English,long,animal,0
3,MtG,mouse,naive,English,long,animal,1.9459101
5,MtG,pineapple,naive,English,long,plant,0
8,MtG,whale,naive,English,long,animal,1.0986123
2,MtG,ant,naive,English,short,animal,1.3862944
1,MtG,wasp,naive,English,short,animal,1.3862944
3,MtG,goose,naive,English,long,animal,1.7917595
3,MtG,orange,naive,English,long,plant,1.3862944
1,MtG,paprika,naive,English,long,plant,0
0,MtG,blueberry,naive,English,long,plant,0
1,MtG,eggplant,naive,English,long,plant,0
4,MtG,chicken,naive,English,long,animal,1.0986123
2,MtG,gull,naive,English,short,animal,1.6094379
2,MtG,butterfly,naive,English,long,animal,0
