Rating,Subject,Word,Naive,Language
6,Jer,horse,naive,English
2,Jer,gherkin,naive,English
3,Jer,hedgehog,naive,English
2,Jer,bee,naive,English
1,Jer,peanut,naive,English
2,Jer,pear,naive,English
3,Jer,pineapple,naive,English
3,Jer,frog,naive,English
1,Jer,blackberry,naive,English
2,Jer,pigeon,naive,English
3,Jer,tortoise,naive,English
3,Jer,tomato,naive,English
5,Jer,pig,naive,English
6,Jer,donkey,naive,English
3,Jer,magpie,naive,English
3,Jer,melon,naive,English
2,Jer,paprika,naive,English
3,Jer,squirrel,naive,English
2,Jer,beetroot,naive,English
3,Jer,snake,naive,English
4,Jer,goat,naive,English
2,Jer,cucumber,naive,English
1,Jer,strawberry,naive,English
4,Jer,fox,naive,English
1,Jer,walnut,naive,English
3,Jer,broccoli,naive,English
3,Jer,bat,naive,English
4,Jer,dog,naive,English
2,Jer,butterfly,naive,English
2,Jer,spider,naive,English
3,Jer,apricot,naive,English
3,Jer,owl,naive,English
2,Jer,mushroom,naive,English
3,Jer,gull,naive,English
4,Jer,dolphin,naive,English
2,Jer,clove,naive,English
6,Jer,reindeer,naive,English
6,Jer,shark,naive,English
2,Jer,olive,naive,English
2,Jer,almond,naive,English
7,Jer,whale,naive,English
6,Jer,moose,naive,English
6,Jer,camel,naive,English
2,Jer,wasp,naive,English
3,Jer,lettuce,naive,English
3,Jer,potato,naive,English
4,Jer,sheep,naive,English
3,Jer,cat,naive,English
1,Jer,cherry,naive,English
2,Jer,eggplant,naive,English
2,Jer,asparagus,naive,English
3,Jer,vulture,naive,English
3,Jer,bunny,naive,English
2,Jer,mouse,naive,English
2,Jer,leek,naive,English
4,Jer,badger,naive,English
1,Jer,ant,naive,English
2,Jer,grape,naive,English
4,Jer,eagle,naive,English
6,Jer,lion,naive,English
1,Jer,mustard,naive,English
2,Jer,woodpecker,naive,English
3,Jer,kiwi,naive,English
3,Jer,carrot,naive,English
3,Jer,radish,naive,English
4,Jer,beaver,naive,English
2,Jer,lemon,naive,English
4,Jer,squid,naive,English
3,Jer,mole,naive,English
1,Jer,blueberry,naive,English
3,Jer,chicken,naive,English
7,Jer,elephant,naive,English
2,Jer,banana,naive,English
4,Jer,stork,naive,English
3,Jer,orange,naive,English
6,Jer,crocodile,naive,English
2,Jer,swan,naive,English
3,Jer,monkey,naive,English
2,Jer,avocado,naive,English
3,Jer,goose,naive,English
2,Jer,apple,naive,English
2,YH,spider,naive,notEnglish
5,YH,melon,naive,notEnglish
4,YH,banana,naive,notEnglish
3,YH,badger,naive,notEnglish
2,YH,butterfly,naive,notEnglish
4,YH,pigeon,naive,notEnglish
2,YH,grape,naive,notEnglish
4,YH,broccoli,naive,notEnglish
4,YH,woodpecker,naive,notEnglish
3,YH,squid,naive,notEnglish
5,YH,swan,naive,notEnglish
2,YH,mushroom,naive,notEnglish
3,YH,asparagus,naive,notEnglish
5,YH,goose,naive,notEnglish
4,YH,vulture,naive,notEnglish
3,YH,bunny,naive,notEnglish
7,YH,lion,naive,notEnglish
4,YH,leek,naive,notEnglish
4,YH,mole,naive,notEnglish
2,YH,beetroot,naive,notEnglish
2,YH,frog,naive,notEnglish
2,YH,moose,naive,notEnglish
3,YH,stork,naive,notEnglish
2,YH,hedgehog,naive,notEnglish
7,YH,shark,naive,notEnglish
2,YH,pear,naive,notEnglish
3,YH,radish,naive,notEnglish
7,YH,horse,naive,notEnglish
4,YH,owl,naive,notEnglish
2,YH,apricot,naive,notEnglish
3,YH,snake,naive,notEnglish
2,YH,bee,naive,notEnglish
2,YH,blueberry,naive,notEnglish
7,YH,camel,naive,notEnglish
3,YH,cucumber,naive,notEnglish
2,YH,chicken,naive,notEnglish
6,YH,crocodile,naive,notEnglish
3,YH,potato,naive,notEnglish
2,YH,peanut,naive,notEnglish
7,YH,whale,naive,notEnglish
4,YH,monkey,naive,notEnglish
3,YH,beaver,naive,notEnglish
3,YH,orange,naive,notEnglish
2,YH,bat,naive,notEnglish
1,YH,ant,naive,notEnglish
7,YH,dolphin,naive,notEnglish
7,YH,elephant,naive,notEnglish
6,YH,pig,naive,notEnglish
4,YH,magpie,naive,notEnglish
2,YH,mustard,naive,notEnglish
7,YH,reindeer,naive,notEnglish
2,YH,wasp,naive,notEnglish
2,YH,mouse,naive,notEnglish
2,YH,olive,naive,notEnglish
6,YH,sheep,naive,notEnglish
4,YH,paprika,naive,notEnglish
3,YH,avocado,naive,notEnglish
6,YH,donkey,naive,notEnglish
3,YH,eggplant,naive,notEnglish
3,YH,carrot,naive,notEnglish
3,YH,cat,naive,notEnglish
5,YH,dog,naive,notEnglish
2,YH,almond,naive,notEnglish
3,YH,apple,naive,notEnglish
4,YH,lettuce,naive,notEnglish
2,YH,strawberry,naive,notEnglish
2,YH,lemon,naive,notEnglish
1,YH,walnut,naive,notEnglish
2,YH,blackberry,naive,notEnglish
4,YH,gull,naive,notEnglish
3,YH,clove,naive,notEnglish
4,YH,gherkin,naive,notEnglish
6,YH,fox,naive,notEnglish
5,YH,pineapple,naive,notEnglish
1,YH,cherry,naive,notEnglish
3,YH,tomato,naive,notEnglish
6,YH,goat,naive,notEnglish
5,YH,eagle,naive,notEnglish
4,YH,tortoise,naive,notEnglish
3,YH,kiwi,naive,notEnglish
3,YH,squirrel,naive,notEnglish
2,MtG,squid,naive,English
3,MtG,pear,naive,English
2,MtG,asparagus,naive,English
2,MtG,leek,naive,English
5,MtG,donkey,naive,English
4,MtG,pigeon,naive,English
3,MtG,eagle,naive,English
3,MtG,squirrel,naive,English
3,MtG,woodpecker,naive,English
2,MtG,bunny,naive,English
4,MtG,fox,naive,English
5,MtG,sheep,naive,English
7,MtG,shark,naive,English
2,MtG,badger,naive,English
7,MtG,moose,naive,English
2,MtG,radish,naive,English
1,MtG,cherry,naive,English
3,MtG,tortoise,naive,English
2,MtG,mouse,naive,English
4,MtG,pineapple,naive,English
7,MtG,whale,naive,English
1,MtG,ant,naive,English
2,MtG,wasp,naive,English
3,MtG,goose,naive,English
2,MtG,orange,naive,English
2,MtG,paprika,naive,English
1,MtG,blueberry,naive,English
2,MtG,eggplant,naive,English
3,MtG,chicken,naive,English
3,MtG,gull,naive,English
1,MtG,butterfly,naive,English
